major_group,analysis_group,condition,source_condition,replicate,sample_id,cell_id,experiment,n_radius_points,radius_min,radius_max,auc,actuator,stimulation,ligand,is_primary_condition,normalization_reference,matched_control_reference_raw_auc
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,4,353.6,LMO7__r4__s353.6,LMO7_rep4,41,10.0,210.0,0.9396735273243435,LMO7,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,5,353.7,LMO7__r5__s353.7,LMO7_rep5,49,10.0,250.0,1.6962384669978707,LMO7,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,6,353.8,LMO7__r6__s353.8,LMO7_rep6,52,15.0,270.0,0.7466288147622427,LMO7,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,7,353.1,LMO7__r7__s353.1,LMO7_rep7,48,10.0,245.0,0.9141234918381831,LMO7,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,8,353.11,LMO7__r8__s353.11,LMO7_rep8,34,5.0,170.0,0.9623846699787083,LMO7,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,9,353.12,LMO7__r9__s353.12,LMO7_rep9,22,10.0,115.0,0.35060326472675657,LMO7,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,10,353.14,LMO7__r10__s353.14,LMO7_rep10,38,10.0,195.0,1.2434350603264728,LMO7,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,11,353.15,LMO7__r11__s353.15,LMO7_rep11,25,10.0,130.0,0.9041873669268985,LMO7,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,1,,PSAM__r1__sNA,PSAM_rep1,57,20.0,300.0,0.8133427963094393,PSAM,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,2,,PSAM__r2__sNA,PSAM_rep2,77,15.0,395.0,1.1724627395315828,PSAM,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,3,,PSAM__r3__sNA,PSAM_rep3,69,20.0,360.0,0.7764371894960965,PSAM,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,4,,PSAM__r4__sNA,PSAM_rep4,73,15.0,375.0,0.7991483321504613,PSAM,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,5,,PSAM__r5__sNA,PSAM_rep5,58,15.0,300.0,0.7849538679914834,PSAM,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,6,,PSAM__r6__sNA,PSAM_rep6,51,20.0,270.0,0.41447835344215755,PSAM,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,7,,PSAM__r7__sNA,PSAM_rep7,31,10.0,160.0,0.39318665720369056,PSAM,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,8,,PSAM__r8__sNA,PSAM_rep8,46,10.0,235.0,0.8630234208658624,PSAM,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,9,,PSAM__r9__sNA,PSAM_rep9,56,10.0,285.0,0.631653655074521,PSAM,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,10,,PSAM__r10__sNA,PSAM_rep10,73,15.0,375.0,0.7806955287437899,PSAM,Vehicle,none,True,matched_control_median,1761.25
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,1,,CNO__r1__sNA,NoActuator_rep1,61,5.0,305.0,0.5407821229050279,NoActuator,Stimulated,CNO,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,2,,CNO__r2__sNA,NoActuator_rep2,16,5.0,80.0,0.32849162011173183,NoActuator,Stimulated,CNO,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,3,,CNO__r3__sNA,NoActuator_rep3,39,5.0,195.0,1.158659217877095,NoActuator,Stimulated,CNO,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,4,,CNO__r4__sNA,NoActuator_rep4,30,5.0,150.0,0.6,NoActuator,Stimulated,CNO,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,5,,CNO__r5__sNA,NoActuator_rep5,36,5.0,180.0,0.9843575418994414,NoActuator,Stimulated,CNO,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,6,,CNO__r6__sNA,NoActuator_rep6,70,5.0,350.0,0.9597765363128492,NoActuator,Stimulated,CNO,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,7,,CNO__r7__sNA,NoActuator_rep7,30,5.0,150.0,0.41899441340782123,NoActuator,Stimulated,CNO,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,8,,CNO__r8__sNA,NoActuator_rep8,49,5.0,245.0,0.9865921787709497,NoActuator,Stimulated,CNO,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,9,,CNO__r9__sNA,NoActuator_rep9,33,5.0,165.0,0.21564245810055865,NoActuator,Stimulated,CNO,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,10,,CNO__r10__sNA,NoActuator_rep10,49,5.0,245.0,0.5798882681564246,NoActuator,Stimulated,CNO,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,11,,CNO__r11__sNA,NoActuator_rep11,54,5.0,270.0,0.8692737430167597,NoActuator,Stimulated,CNO,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,1,,MEDIA__r1__sNA,NoActuator_rep1,58,5.0,290.0,1.5899441340782123,NoActuator,Vehicle,none,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,2,,MEDIA__r2__sNA,NoActuator_rep2,43,5.0,215.0,0.7642458100558659,NoActuator,Vehicle,none,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,3,,MEDIA__r3__sNA,NoActuator_rep3,55,5.0,275.0,1.2502793296089385,NoActuator,Vehicle,none,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,4,,MEDIA__r4__sNA,NoActuator_rep4,109,5.0,545.0,1.7195530726256982,NoActuator,Vehicle,none,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,5,,MEDIA__r5__sNA,NoActuator_rep5,52,5.0,260.0,0.5262569832402234,NoActuator,Vehicle,none,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,6,,MEDIA__r6__sNA,NoActuator_rep6,53,5.0,265.0,0.4145251396648045,NoActuator,Vehicle,none,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,7,,MEDIA__r7__sNA,NoActuator_rep7,52,5.0,260.0,1.0,NoActuator,Vehicle,none,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,8,,MEDIA__r8__sNA,NoActuator_rep8,52,5.0,260.0,0.9955307262569832,NoActuator,Vehicle,none,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,9,,MEDIA__r9__sNA,NoActuator_rep9,107,5.0,535.0,1.4379888268156424,NoActuator,Vehicle,none,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,10,,MEDIA__r10__sNA,NoActuator_rep10,56,5.0,280.0,0.9329608938547486,NoActuator,Vehicle,none,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,11,,MEDIA__r11__sNA,NoActuator_rep11,68,5.0,340.0,1.1273743016759776,NoActuator,Vehicle,none,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_hCTZ,hCTZ,1,,hCTZ__r1__sNA,NoActuator_rep1,63,0.0,310.0,0.9664804469273743,NoActuator,Stimulated,hCTZ,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_hCTZ,hCTZ,2,,hCTZ__r2__sNA,NoActuator_rep2,86,0.0,425.0,1.705027932960894,NoActuator,Stimulated,hCTZ,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_hCTZ,hCTZ,3,,hCTZ__r3__sNA,NoActuator_rep3,50,0.0,245.0,0.8681564245810056,NoActuator,Stimulated,hCTZ,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_hCTZ,hCTZ,4,,hCTZ__r4__sNA,NoActuator_rep4,82,0.0,405.0,0.8905027932960894,NoActuator,Stimulated,hCTZ,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_hCTZ,hCTZ,5,,hCTZ__r5__sNA,NoActuator_rep5,85,0.0,420.0,0.9094972067039107,NoActuator,Stimulated,hCTZ,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_hCTZ,hCTZ,6,,hCTZ__r6__sNA,NoActuator_rep6,56,0.0,275.0,1.0670391061452513,NoActuator,Stimulated,hCTZ,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_hCTZ,hCTZ,7,,hCTZ__r7__sNA,NoActuator_rep7,37,0.0,180.0,0.6536312849162011,NoActuator,Stimulated,hCTZ,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_hCTZ,hCTZ,8,,hCTZ__r8__sNA,NoActuator_rep8,73,0.0,360.0,1.1396648044692737,NoActuator,Stimulated,hCTZ,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_hCTZ,hCTZ,9,,hCTZ__r9__sNA,NoActuator_rep9,57,0.0,280.0,0.7184357541899441,NoActuator,Stimulated,hCTZ,False,matched_control_median,2237.5
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_hCTZ,hCTZ,10,,hCTZ__r10__sNA,NoActuator_rep10,73,0.0,360.0,1.04804469273743,NoActuator,Stimulated,hCTZ,False,matched_control_median,2237.5
